id,link,"s4g_team",topic,dropped
1,"https://www.kaggle.com/saulfuh/bart-ridership/home|||https://www.kaggle.com/benhamner/sf-bay-area-bike-share/home","bIKEA","BART + Ford bikes ridership",0
2,"","Meese","DROPPED",1
3,"https://data.sfgov.org/Public-Safety/Police-Department-Incidents-Previous-Year-2017-/9v2m-8wqu","Splunkterns 3.0","2017 SF Crime + Walk Score",0
4,"","Ben10","DROPPED",1
5,"","Trashy to Classy","SF trash cans and cleaniness data",1
6,"https://build.kiva.org/","Michael Scott Data Company","Using ML to determine success factors of Kiva loans",0
