date_year,election_year,candidates
1997,2000,gore:bush
1998,2000,gore:bush
1999,2000,gore:bush
2000,2000,gore:bush
2001,2004,kerry:bush
2002,2004,kerry:bush
2003,2004,kerry:bush
2004,2004,kerry:bush
2005,2008,obama:mccain
2006,2008,obama:mccain
2007,2008,obama:mccain
2008,2008,obama:mccain
2009,2012,obama:romney
2010,2012,obama:romney
2011,2012,obama:romney
2012,2012,obama:romney
2013,2016,clinton:trump
2014,2016,clinton:trump
2015,2016,clinton:trump
2016,2016,clinton:trump
