"judge_id","score_ideas_topics","score_potential_for_the_greater_good","score_presentation_soft_skills","team_id"
1,4,3,4,6
1,4,5,4,3
1,3,2,3,4
1,3,3,3,5
1,4,5,5,1
2,4,3,3,6
2,4,4,4,3
2,4,5,4,4
2,2,2,3,5
2,5,5,5,1
3,3,3,4,6
3,3,4,4,3
3,4,5,3,4
3,3,3,3,5
3,4,4,5,1
4,4,3,3,6
4,4,4,4,3
4,5,5,4,4
4,3,2,2,5
4,5,5,5,1
