id,link,"s4g_team",topic
1,"https://www.eia.gov/opendata/|https://www.wunderground.com/weather/api","Alan & Co","Seattle power plant & weather"
2,"https://data.sfgov.org/Energy-and-Environment/Existing-Commercial-Buildings-Energy-Performance-O/j2j3-acqj",Kasacha,"SF commercial building energy usage"
3,"https://www.petfinder.com/developers/api-docs",Monstars,"Pet adoptions"
4,"http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/on_the_fly_download.aspx","Splunk Resonance","Railroad accidents"
5,"https://www.kaggle.com/stackoverflow/stacklite",Splunk4Better,"Stack Overflow"
6,"https://data.sfgov.org/City-Management-and-Ethics/Street-and-Sidewalk-Cleaning/h3eg-w3pj|https://data.sfgov.org/Transportation/Parking-Regulations/2ehv-6arf|https://data.sfgov.org/Public-Safety/Current-Year-2017-Grand-thefts-from-locked-auto/d5r7-g9ys",Splunk5Good,"SF traffic & parking"
7,"https://data.sfgov.org/Public-Safety/Police-Department-Incidents/tmnf-yvry",TMT,"SF crime"
