CNN,zone
10605000,D
1061000,D
10611101,D
10611201,D
10612101,D
10612201,D
10612202,D
10613101,D
10613201,D
10615201,F
10616101,F
10616201,F
10617102,F
10617201,F
10618101,F
10618102,F
10618103,F
10618201,F
10618202,F
10619201,F
1062000,D
10620101,F
10620102,F
10620103,F
10620201,F
10620202,F
10621101,F
10621201,F
10622101,F
10622102,F
10622201,F
10624002,B
10625000,B
10626000,B
10627000,B
10628000,B
10629000,B
1063000,D
10630000,B
10631000,B
10632000,B
10633000,B
10634000,B
10635000,B
10636000,B
10637000,B
10638000,B
10639000,B
1064000,D
10640000,B
10641000,B
10642000,B
10643000,B
10644000,C
10645000,C
10646000,C
10647000,C
10648000,C
10649000,C
1065000,D
10650000,C
10651000,C
10652000,C
10653000,C
10654000,C
10655000,C
10656000,C
10657000,C
10658000,E
10659000,E
1066000,D
10660000,B
10661000,E
10662000,D
10663101,E
10663201,D
10664101,E
10664201,D
10665101,E
10665201,D
10666101,E
10666201,D
10667101,E
10667201,D
10668101,E
10668201,D
10669101,E
10669201,D
1067000,D
10670101,E
10670201,D
10671000,D
10672000,E
10673000,E
10674101,E
10674201,D
10675000,B
10678000,B
10679000,B
1068000,D
10680000,A
10681000,A
10682000,A
10683000,A
10684000,A
10685000,A
10686000,A
10687000,A
10688000,A
10689000,A
1069000,D
10693000,A
10694000,A
10695000,A
10696000,A
10697000,A
10698000,A
10699000,A
107000,B
1070000,D
10700000,A
10701000,A
10703000,A
10704000,A
10705000,A
10706000,A
10707000,D
10709000,D
1071000,C
10710000,D
10711000,D
10712000,D
10714000,D
10715000,D
10716000,D
10717000,D
10719000,D
1072000,C
10720000,D
10723000,D
10726000,A
10727000,A
10728000,E
10729000,E
1073000,C
10730000,E
10731000,E
10732000,E
10733000,E
10734000,E
10735000,E
10736000,E
10737000,E
10738000,E
1074000,C
10741001,D
10741002,D
10742000,D
10743000,D
10744000,D
10745000,D
10746000,D
10747000,D
10748000,D
10749000,D
1075000,C
10750000,D
10751000,D
10752000,D
10753000,D
10754000,D
10755000,D
10756000,D
10757000,D
10758000,D
10759000,D
1076000,C
10761000,C
10762000,C
10763000,C
10764000,C
10765000,C
10766000,C
10767000,C
10768000,C
10769000,B
1077000,C
10770000,C
10771000,C
10775000,A
10776000,D
10777000,D
10778000,D
10779000,D
1078000,C
10780000,D
10781000,D
10782000,D
10783000,E
10784000,D
10785000,D
10786000,D
10787000,D
10788000,D
10789000,D
1079000,F
10790000,D
10791000,D
10792000,D
10798000,D
10799000,D
10800000,D
108001,B
10801000,D
10806000,D
10808000,E
10809000,E
1081000,F
10810000,E
10811000,E
10812000,E
10813000,E
10814000,E
10815000,E
10816101,E
10816201,E
10818000,E
1082000,F
10820000,E
10821000,E
10822000,E
10823000,E
10824000,E
10827000,E
10829000,E
1083000,F
10830000,E
10833000,E
10835000,E
10838000,E
10839000,E
1084000,F
10840000,E
10844000,E
10845000,F
10846000,F
10847000,F
10848000,F
10849000,F
1085000,F
10851000,F
10852000,F
10853000,F
10854000,F
10855000,F
10856000,F
10857000,F
10858000,F
10859000,F
1086000,F
10860000,F
10863000,F
10867000,F
1087000,F
10870000,F
10871000,F
10874000,F
10875000,F
10878000,F
10879000,F
1088000,F
10880000,F
10881000,F
10882000,F
10883000,F
10885000,D
10888000,F
10889000,F
1089000,F
10890000,F
10893000,F
10894000,F
10895000,F
10896000,F
10897000,F
10898000,D
10899000,F
1090000,F
10902000,F
10903000,F
10905000,F
10906000,F
10908000,D
10909000,D
1091000,F
10910000,D
10911000,D
10912000,D
10913000,D
10914000,D
10915000,F
10916000,F
10917000,F
10918000,F
10919000,F
1092000,F
10920000,F
10921000,F
10922000,F
10924000,F
10927000,E
1093000,F
10930000,E
10931000,E
10933000,E
10934000,E
10935000,E
10936000,B
10937000,F
10938000,F
1094000,F
10940000,D
10942000,E
10943000,E
10944000,E
10945000,E
10946000,E
10948000,E
1095000,F
10951000,D
10952000,E
10953000,A
10954000,E
10956000,B
10957000,B
10958000,C
10959000,A
10960000,F
10962000,F
10963000,F
10964000,F
10967000,A
10968000,A
10969000,A
1097000,D
10970101,E
10970201,E
10971000,E
10974000,E
10975000,E
10976000,E
10977000,E
10978000,E
10979000,E
1098000,D
10980000,E
10981000,E
10982000,E
10983000,E
10984000,E
10985000,E
10986000,F
10988000,E
10989000,F
1099000,D
10990000,F
10992000,E
10993000,E
10994000,E
10995000,E
10996000,E
10997000,E
10998000,E
10999000,E
1100000,D
11000000,E
11001000,E
11002000,E
11003000,E
11004000,E
11005000,E
11006000,F
11008000,E
11009101,A
11009201,A
1101000,D
11010102,A
11010201,A
11010202,A
11011001,D
11011002,D
11012000,D
11013000,D
11014000,D
11018000,A
1102000,D
11020000,F
11023000,F
11025000,F
11027000,F
11028000,F
11029000,F
1103000,D
11030000,F
11033000,B
11035000,E
11036000,D
11037000,D
11038000,D
11039000,B
1104000,D
11040000,B
11046000,F
11047000,F
11048000,F
11049000,F
1105000,D
11050000,F
11051000,F
11052000,F
11053000,F
11054000,F
11057000,F
11058000,F
11059000,F
1106000,D
11060000,F
11061000,F
11062000,F
11063000,F
11064000,F
11068000,F
1107000,D
11071000,F
11072000,F
11075000,F
11077000,F
11079000,F
1108000,D
11080000,F
11081000,F
11083000,F
11084000,F
11085000,F
11086000,F
11087000,F
11088000,F
11089000,B
1109000,D
11091000,D
11092000,D
11093000,D
11094000,D
11095000,E
11097000,F
111000,B
1110000,D
11101000,F
11102000,F
11103000,F
11104000,F
11105000,F
11106000,F
11107000,F
11108000,F
1111000,D
11113000,F
11116000,E
11117000,E
11118000,E
11119000,E
1112000,D
11120000,E
11121000,E
11123000,E
11124000,E
11125000,E
11126000,E
11127000,E
11128000,E
1113000,D
11130000,D
11131000,D
11132000,D
11133000,F
11134000,F
11135000,F
11136000,F
1114000,D
11140000,D
11141000,D
11142000,D
11143000,D
11144001,D
11145000,D
11146201,D
11147201,D
11148201,D
11149000,D
1115000,D
11151000,B
11152001,B
11153000,B
11155000,C
11157000,D
1116000,D
11161000,F
11162000,E
11163000,E
11164000,E
11166000,C
11167000,C
11168000,F
11169000,F
1117000,D
11170000,F
11171000,F
11172000,D
11174000,D
11175001,D
11175002,D
11176000,D
11178000,D
11179000,D
1118000,D
11182000,F
11184000,B
11185000,B
11186000,B
11187000,A
11188000,E
11189000,E
1119000,D
11190000,E
11191000,E
11192000,E
11193000,E
11194000,E
11195000,E
11196000,E
11197000,E
11198000,E
11199000,E
112000,B
1120000,D
11200000,E
11202000,F
11203000,E
11206000,E
11209000,E
1121000,D
11211000,E
11212000,E
11213001,D
11213002,D
11214000,D
11215000,D
11216000,D
1122000,D
11220000,A
11221000,A
11222000,A
11223000,A
11224000,A
11225000,A
11226000,A
11227000,A
1123000,D
11230000,A
11233000,A
11234000,A
11235000,A
11236000,A
11237000,A
11239000,A
1124000,D
11240000,A
11241001,A
11241002,A
11242000,A
11243000,A
11244000,A
11245000,A
11246000,A
11247000,A
11248000,A
11249000,A
1125000,D
11250000,A
11251000,A
11252000,A
11253000,A
11254000,A
11255000,A
11256000,A
11257000,A
11258000,A
11259000,A
1126000,D
11260000,A
11261000,A
11262000,A
11263000,A
11264000,C
11265000,C
11266000,C
11267000,C
11268000,C
11269000,C
1127000,D
11270000,C
11271000,C
11276000,F
11277000,F
11278000,F
1128000,D
11281000,F
11282000,F
11283000,F
11286000,F
11289000,F
1129000,D
11290000,F
11291000,F
11292000,F
11293000,F
11294101,F
11294201,F
11294202,F
11295000,F
11296000,F
11297000,F
11298000,F
11299000,F
113000,B
1130000,C
11300101,F
11300201,F
11301101,F
11301201,F
11302000,B
11304000,F
11305002,F
11306000,C
11307000,C
11308000,C
11309000,C
1131000,C
11311000,D
11312000,D
11313000,D
11314000,D
11315000,F
1132000,C
11320000,E
11321000,E
11325000,D
11328000,F
11329000,F
1133000,C
11330000,F
11331000,F
11332000,F
11333000,F
11334000,F
11335000,F
11336000,F
11337000,F
11338000,F
11339000,F
1134000,C
11340000,F
11341000,F
11342000,F
11343000,F
11344000,F
11345000,F
1135000,C
11350000,E
11351000,E
11352000,E
11353000,E
11354000,E
11355000,E
11356000,E
11357000,E
11358000,E
1136000,C
11360000,E
11361000,E
11362000,E
11363000,E
11367000,D
11368000,D
1137000,C
11371000,D
11373000,D
11374000,D
11376000,D
11377000,D
11378000,D
11379000,D
1138000,C
11380000,D
11382000,D
11383000,D
11384000,D
11385000,E
11386000,E
11387000,E
11388000,E
11389000,E
1139000,F
11391000,E
11393000,E
11395000,E
114000,B
1140000,F
11402000,F
11403000,D
11404000,D
11405000,D
11406000,D
1141000,F
11410000,F
11411000,F
11412000,F
11413000,F
11414000,F
11415000,F
11416000,F
11417000,F
11418000,F
11419000,F
1142000,F
11426000,D
11427000,D
11428000,D
11429000,D
1143000,F
11430000,D
11431000,D
11432000,D
11434000,D
11435000,D
11436101,D
11436201,D
11436202,D
11437101,D
11437201,D
11437202,D
11438101,D
11438102,D
11438201,D
11438203,D
11439101,D
11439102,D
11439103,D
11439105,D
11439106,D
11439201,D
11439203,F
1144000,F
11440101,F
11440201,F
11441101,F
11442000,F
11444000,F
11445000,F
11446000,F
11447000,F
11449000,F
1145000,F
11450000,F
11452000,F
11453000,F
11454000,F
11456000,F
11457000,F
1146000,F
11463000,F
11464000,F
11465000,F
11466000,F
11467203,F
1147000,F
11474000,D
11476000,F
11477000,F
11478000,F
11479000,F
1148000,F
11480000,F
11481000,F
11482000,F
11483000,F
11484000,F
11485000,F
11486000,F
11487000,F
11488000,F
11489000,F
1149000,F
11490000,F
11492000,F
11493000,F
11494000,F
11496101,F
11496201,F
11498000,F
11499000,F
1150000,F
11500000,F
115001,B
11501000,F
11502000,F
11503000,F
11504000,F
11506000,F
11507000,D
11508000,D
11509000,D
1151000,F
11511000,D
11512000,D
11513000,D
11514000,D
11515000,D
11516000,D
11517000,D
11518000,D
11519000,D
1152000,F
11520000,D
11521101,D
11521201,D
11522000,D
11523000,D
11524000,D
11525000,D
11526000,D
11527000,D
11528000,D
11529000,D
1153000,F
11530000,D
11531000,D
11532000,D
11533000,D
11534000,D
11535000,D
11536000,D
11537000,D
11538000,D
11539000,D
11540000,D
11541000,D
11542000,A
11543000,A
11544000,A
11546000,A
11547000,A
11548000,A
11549000,A
1155000,F
11551000,A
11552000,A
11553000,A
11554000,A
11555000,A
11556000,A
11557000,A
11558000,A
11559000,A
11560000,A
11561000,A
11563000,F
11564000,F
11565000,F
11566000,F
11567000,F
11568000,F
11569000,F
11570000,F
11571000,F
11572000,F
11573000,F
11574000,E
11575000,D
11576000,D
11577000,D
11578000,F
11579000,F
1158000,E
11580000,F
11581000,F
11582000,F
11583000,F
11584000,F
11585000,F
11586000,F
11587000,F
11588101,F
11588201,F
11589000,F
1159000,E
11590000,F
11591000,F
11592000,F
11593000,F
11594000,F
11596000,F
11597000,F
11598000,F
11599000,F
1160000,E
11600000,F
116001,B
116002,B
11601000,F
11602000,F
11603000,F
11604000,F
11605000,F
11606000,F
11607000,F
11608000,F
11609000,F
1161000,E
11610000,F
11611000,F
11613000,F
11614000,F
11615000,F
11616000,F
11617000,F
11618000,F
1162000,E
11620000,F
11621000,F
11622000,F
11623000,F
11624000,F
11625000,F
1163000,E
11630000,F
11632000,F
11633000,F
11634000,F
11635000,F
11636000,F
11637000,F
11638000,F
11639000,F
1164000,E
11641000,E
11642000,E
11643000,E
11644000,E
11645000,F
11646000,F
11647000,F
11648000,F
1165000,E
11651000,F
11653000,F
11654000,F
11655000,F
11656000,A
11658000,D
11659000,D
1166000,E
11660000,D
11666000,E
11668000,E
11669000,E
11670000,C
11672000,E
11673000,E
11674001,E
11674002,E
11674003,E
11675000,E
11676000,E
11677000,E
11679000,E
1168000,E
11680000,A
11681000,C
11682000,C
11683000,C
11684000,C
11685000,C
11686000,C
11687000,C
11688000,C
11689000,C
1169000,E
11690000,C
11691000,C
11692000,C
11693000,C
11694000,C
11695000,C
11696000,C
11697000,C
11698000,C
11699000,C
117000,B
1170000,E
11700000,A
11701000,A
11702000,A
11703000,A
11704000,A
11705000,A
11706000,A
11707000,A
11708000,A
11709000,A
1171000,E
11710000,A
11711000,A
11712000,A
11713000,A
11714000,A
11715000,A
11716000,A
11717000,A
11718000,A
11719000,A
1172000,E
11720000,A
11721000,A
11722000,A
11723000,A
11724000,A
11725000,C
11726000,C
11727000,C
11728000,C
11729000,C
11730000,C
11731000,C
11732000,F
11733000,F
11734000,C
11735000,C
11756000,F
11757000,F
11758000,F
11759000,F
1176000,E
11760000,F
11761000,F
11762000,F
11763000,F
11764000,F
11768000,F
11769000,F
11770000,F
11771000,F
11772000,F
11775000,E
11776000,E
11777000,D
11778000,D
11779000,C
11782000,E
11783000,E
11784000,E
11785000,E
11786000,E
11789000,E
1179000,D
11791101,F
11795000,D
11796000,A
11797000,B
11798000,F
11799000,F
118000,C
1180000,D
11802000,B
11803000,B
11804000,B
11805000,F
11807000,F
11808000,F
11809000,F
1181000,D
11810000,F
11811000,F
11812000,F
11813000,F
11814000,F
11815000,F
1182000,D
11826000,B
11827000,B
11828000,B
11829000,C
1183000,D
11830000,C
11831000,D
11832000,B
11833000,B
11834000,D
11835000,D
11836000,D
11837000,D
11838000,D
11839000,D
1184000,D
11840000,D
11841000,D
11842000,D
11843000,D
11844000,D
11845000,D
11846000,D
11847000,D
11848000,D
11849000,D
1185000,D
11850000,E
11851000,C
11852000,C
11853000,C
11854000,C
11855000,C
11856000,C
11857000,C
11858000,C
11859000,F
1186000,D
11860000,F
11861000,F
11862000,F
11863000,F
11864000,F
11865000,F
11866000,F
11867000,F
11868000,F
11869000,F
1187000,D
11872000,E
11873000,D
11874000,D
11875000,D
11876000,D
11877000,D
11878000,D
11879000,D
1188000,D
11880000,D
11881000,D
11882000,D
11883000,D
11884000,D
11885000,D
11886000,D
11887000,D
11888000,D
11889000,D
1189000,D
11890000,D
11891000,D
11892000,F
11893000,F
11894000,E
11895000,E
11896000,E
11897000,E
11898000,E
11899000,E
119000,C
1190000,D
11900000,E
11901000,E
11902000,E
11903000,E
11904000,E
11905000,D
11906000,D
11907000,D
11908000,D
11909000,D
1191000,D
11910000,D
11912000,D
11913000,D
11914000,D
11916000,D
11917000,D
11918000,D
11919000,D
1192000,D
11920000,D
11921000,D
11922000,D
11924000,D
11927000,E
11928000,E
11929000,E
1193000,D
11930000,E
11931000,E
11932000,E
11933000,E
11934000,E
11935000,E
11936000,E
11937000,E
11938000,F
1194000,D
11942000,F
11946000,F
1195000,D
11950102,F
11950103,F
11950104,F
11950203,F
11951101,F
11951102,F
11952201,F
11953102,F
11953201,F
11954202,F
11955102,F
11955202,F
11955203,F
11956103,F
11956201,F
11957101,F
11958201,F
11959101,F
11959201,F
11959204,F
1196000,D
11961201,F
11961202,F
11962101,F
11962202,F
11963201,F
11964101,F
11964201,F
11965000,F
11966000,D
11967000,D
11968000,D
11969000,D
1197000,D
11970000,D
11971000,D
11972000,D
11974000,E
11975000,E
11978000,F
11979000,F
1198000,D
11980000,F
1199000,D
120000,C
1200000,D
12001000,E
12002000,E
12003000,E
12004000,E
12005000,E
12006000,E
12008000,B
12009101,B
12009102,B
12009201,B
12009202,B
1201000,D
12010000,B
12015101,B
12015201,B
12016201,B
12017101,B
12017201,B
12017202,B
12019101,B
12019102,B
12019201,B
1202000,D
12020000,B
12021000,B
12022000,B
12023000,D
12024000,D
12025000,D
12026000,D
12027000,D
12028000,D
12029000,D
1203000,D
12030000,D
12031000,D
12032000,D
12033000,D
12035000,E
12036000,E
12037000,F
12038000,F
12039000,F
1204000,D
12040000,F
12041000,F
12043000,E
12044000,B
12045000,B
12046000,B
12047000,B
12048000,B
1205000,D
12050000,A
12055000,F
12056000,A
12057000,C
12058000,C
12059000,C
1206000,D
12060000,C
12061000,C
12063000,C
12064000,C
12065000,C
12066000,F
12068000,B
1207000,D
12070000,F
12071000,F
12072000,F
12075000,D
12076000,C
12077000,C
12078000,C
12079000,C
1208000,D
12080000,C
12081000,C
12082000,C
12083000,C
12084000,C
12085000,C
12089000,C
1209000,D
12091000,C
12092000,C
12093000,C
12094000,F
12095000,F
12096000,F
12097000,F
12098000,F
12099000,F
121000,C
1210000,D
12100000,F
12101000,F
12103000,F
12104000,F
12105000,F
12106000,F
12107000,F
12108000,F
1211000,C
12110000,B
12113000,F
12115000,D
12116000,C
12117000,C
12118000,C
12119000,C
1212000,C
12120000,C
12121000,C
12122000,C
12123000,C
12124000,C
12125000,C
12126000,C
12127000,C
12128000,C
12129000,C
1213000,C
12130000,C
12131000,C
12132000,C
12133000,C
12134000,C
12135000,C
12136000,A
12137000,A
12138000,A
12139000,A
1214000,C
12140000,A
12141000,A
12142000,A
12143000,A
12144000,A
12145000,A
12146000,A
12147000,A
12148000,A
12149000,A
1215000,C
12150000,A
12151000,A
12152000,A
12153000,A
12155000,A
12156000,A
12158001,B
12158002,B
12159000,B
1216000,C
12160001,B
12165000,B
12167000,B
12168000,B
12169000,B
1217000,C
12171000,B
12176000,B
12178000,B
12179000,B
1218000,F
12180000,D
12181000,D
12182000,D
12184000,D
12186000,D
12187000,F
12188000,F
12189000,F
1219000,F
12190000,F
12191000,F
12192000,B
12193000,B
12196000,B
12197000,B
12198000,B
12199000,B
12199001,A
122000,C
1220000,F
12200000,A
12201000,A
12202000,A
12203000,A
12204000,A
12205000,A
12208000,A
1221000,F
12210000,A
12211000,A
12212000,A
12213000,A
12214000,A
12215000,A
12216000,A
12217000,A
12219000,A
1222000,F
12220000,A
12221000,A
12222000,A
12223000,A
12224000,A
12225000,A
1223000,F
12232000,D
12233000,D
12234000,E
12235000,E
12236000,E
12237000,D
1224000,F
12249000,F
1225000,F
12250000,F
12251000,B
12255000,E
12256000,E
12257000,E
12258000,E
12259000,E
1226000,F
12260000,E
12261000,E
12262000,E
12263000,E
12264000,E
12265000,E
12266000,E
12267000,E
12268000,E
1227000,F
12271000,E
12272000,E
12273101,F
12273201,F
12275101,F
12275201,F
12276101,F
12276201,F
12277101,F
12277201,F
12278101,F
12278201,F
12279101,F
12279201,F
1228000,F
12280101,F
12280201,F
12281101,F
12281201,F
12282101,F
12282201,F
12283101,F
12283201,F
12284101,F
