BOTANICAL,OBJECTID,"pruning_years"
"Acer palmatum 'Bloodgood'",24,5
"Gleditsia triacanthos f. inermis",266,5
"Liquidambar orientalis",319,5
"Prunus species",454,5
"Pyracantha coccinea",471,5
"Calocedrus decurrens",99,7
"Eucalyptus species",225,3
"Strelitzia nicolai",535,5
"Abelia grandiflora",2,"not a tree"
"Gardenia augusta",258,5
"Nerium oleander",369,7
"Acer macrophyllum",21,5
"Acer rubrum 'Armstrong'",31,5
"Cupressocyparis leylandii",176,7
"Alnus rhombifolia",51,5
"Camellia reticulata",101,5
"Hakea suaveolens",271,5
"Prunus avium",435,5
"Prunus caroliniana",437,7
"Bambusa species",70,"not a tree"
"Ficus rubiginosa",239,5
"Agave americana",42,"not a tree"
"Araucaria heterophylla",57,7
"Brugmansia species",88,"not a tree"
"Corymbia citriodora",160,5
"Acacia cognata",6,5
"Citrus sinensis",148,5
"Pinus muricata",400,5
"Prunus armeniaca",434,5
"Ulmus parvifolia 'Drake'",573,3
"Dicksonia antarctica",186,5
"Fremontodendron californicum",254,3
"Ilex cornuta",281,5
"Pseudotsuga menziesii",466,7
"Camellia japonica",100,5
"Cussonia spicata",182,5
"Eucalyptus pulverulenta",220,5
"Pyrus communis",480,5
"Cotoneaster pannosus",167,5
"Picea pungens f. glauca",390,7
"Pinus montana",399,5
"Cyathea cooperi",183,5
"Nyssa sylvatica",370,5
"Persea indica",379,5
"Platanus x acerifolia 'Columbia'",418,5
"Prunus ilicifolia",444,5
"Pyrus calleryana 'Redspire'",479,5
"Styphnolobium japonicum",538,5
"Acacia cyclops",9,5
"Archontophoenix cunninghamiana",61,5
"Cotoneaster species",168,5
"Eucalyptus cornuta",209,5
"Salix matsudana 'Tortuosa'",519,5
"Ficus benjamina",232,5
"Magnolia doltsopa 'Jack Fogg'",332,5
"Metasequoia glyptostroboides",358,5
"Populus tremuloides",429,5
"Prunus subhirtella 'Pendula'",455,5
"Alnus cordata",50,5
"Celtis occidentalis",121,5
"Ficus elastica",234,5
"Umbellularia californica",579,5
"Cercis canadensis 'Forest Pansy'",127,5
"Fagus sylvatica 'Atropunicea'",231,5
"Pinus halepensis",398,5
"Salix lasiolepis",518,5
"Quillaja saponaria",497,5
"Acacia decurrens",11,5
"Azara microphylla",67,5
"Casuarina cunninghamiana",107,5
"Dypsis cabadae",194,5
"Howea forsteriana",276,5
"Syzygium paniculatum 'Compacta'",546,5
"Ulmus species",577,5
"Vitex lucens",588,5
"Afrocarpus falcatus",40,5
"Albizia distachya",47,5
"Aloe barberae",53,5
"Corymbia calophylla",159,5
"Escallonia x exoniensis 'Fradesii'",203,5
"Furcraea roezlii",257,5
"Gleditsia triacanthos",263,5
"Gleditsia triacanthos 'Shademaster'",264,5
"Juglans regia",288,5
"Musa species",365,5
"Thuja occidentalis 'Lutea'",554,7
"Brachychiton acerifolius",80,5
"Cryptomeria japonica",174,7
"Fraxinus ornus",248,5
"Grevillea 'Poorinda Constance'",267,5
"Washingtonia filifera X robusta",590,3
"Citrus aurantifolia",144,5
"Citrus X paradisi",150,5
"Cotinus coggygria",164,5
"Cotinus coggygria 'Royal Purple'",165,5
"Euonymus japonicus",228,5
"Prunus x yedoensis",459,5
"Quercus lobata",488,7
"Quercus palustris",489,7
"Rhododendron species",506,"not a tree"
,1,
"Acacia species",15,3
"Brachychiton populneus",82,5
"Buddleia davidii",90,"not a tree"
"Celtis species",123,5
"Gleditsia triacanthos 'Sunburst'",265,5
"Juglans nigra",287,5
"Olea europaea subsp. cuspidata",372,5
"Palm species",375,3
"Phoenix roebelenii",383,3
"Psidium cattleianum",467,5
"Punica granatum",470,5
"Pyrus calleryana 'Cleveland Select'",477,5
"Quercus rubra",491,7
"Rhus lancea",509,5
"Robinia pseudoacacia",511,5
"Taxus species",550,5
"Tilia americana",558,5
"Acacia cultriformis",8,3
"Ailanthus altissima",46,3
"Archontophoenix myolensis",62,3
"Betula nigra",74,5
"Dahlia imperialis",185,"not a tree"
"Dodonaea viscosa",189,5
"Echium candicans",196,"not a tree"
"Eucalyptus rudis",222,5
"Eucalyptus viminalis",227,5
"Koelreuteria bipinnata",296,4
"Lavatera maritima",306,"not a tree"
"Ligustrum ovalifolium",317,5
"Melaleuca species",354,5
"Podocarpus latifolius",421,5
"Prunus dulcis",442,5
"Prunus x yedoensis eAkebono",460,5
"Quercus species",492,7
"Salix babylonica",514,5
"Ulmus x 'Frontier'",578,3
"Vacant Planting Site_Brick-on-sand/gravel-filled",586,
"Viburnum odoratissimum var. awabuki",587,5
"Yucca elephantipes 'Elmila'",597,7
"Abutilon hybridum",4,5
"Acca sellowiana",18,5
"Aesculus hippocastanum",38,5
"Arctostaphylos 'Austin Griffiths'",63,5
"Azara microphylla 'Variegata'",68,5
"Butia capitata",91,5
"Cassia leptophylla",106,5
"Casuarina equisetifolia",108,5
"Chamaecyparis species",135,5
"Chitalpa tashkentensis",142,5
"Cornus florida",154,5
"Eucalyptus albopurpurea",204,5
"Eucalyptus globulus 'Compacta'",212,5
"Eucalyptus saligna",223,5
"Fraxinus species",249,5
"Ilex species",282,5
"Iochroma species",283,5
"Magnolia x alba",342,5
"Phoenix x species",385,3
"Pyrus betulifolia 'Southworth'",472,5
"Pyrus calleryana 'New Bradford'",478,5
"Quercus alba",484,5
"Rhopalostylis baueri",507,5
"Salix discolor",515,5
"Syringa vulgaris",543,5
"Thuja plicata",555,5
"Unidentifiable Tree",580,5
"Yucca species",601,7
"Arctostaphylos densiflora 'Howard Mc Minn'",64,3
"Baccharis pilularis",69,5
"Betula pendula 'Purpurea'",77,5
"Caryota gigas",105,5
"Chamaecyparis obtusa",133,3
"Chamaedorea plumosa",136,3
"Chamaerops humilis var. argentea",138,3
"Crataegus x lavallei",173,5
"Cussonia paniculata",181,5
"Escallonia bifida",202,5
"Ficus species",240,3
"Fortunella margarita",242,5
"Fuchsia arborescens",255,5
"Garrya ovata",259,5
"Jubaea chilensis",285,5
"Magnolia species",339,5
"Melia azedarach",356,5
"Opuntia ficus-indica",373,5
"Podocarpus henkelii",420,5
"Prunus x 'Hally Jolivette'",456,5
"Psoralea pinnata",469,5
"Schefflera arboricola",527,5
"Sequoiadendron giganteum",532,7
"Tilia species",562,5
"Yucca recurvifolia",599,5
"Acacia dealbata",10,3
"Acacia vestita",17,3
"Acer species",33,5
"Arbutus unedo 'Compacta'",60,5
"Banksia integrifolia",72,5
"Cantua buxifolia",102,5
"Cedrus deodara 'Karl Fuchs'",116,7
"Celtis australis",120,5
"Cercis canadensis var. texensis",128,5
"Chamaecyparis pisifera",134,3
"Chionanthus retusus",139,5
"Chiranthofremontia lenzii",141,5
"Cornus x 'Eddie's White Wonder'",157,5
"Cupressus macrocarpa 'Donard Gold'",178,7
"Diospyros kaki",187,5
"Duranta repens",193,5
"Eucalyptus lehmannii",214,5
"Fraxinus excelsior",246,5
"Fraxinus velutina",252,5
"Hibiscus rosa-sinensis",274,5
"Juniperus chinensis 'Blue Point'",292,7
"Leucadendron 'Gold Strike'",310,7
"Leucospermum cordifolium 'Yellow Bird'",314,5
"Leucospermum 'Veldfire'",313,5
"Ligustrum species",318,5
"Magnolia liliiflora 'Galaxy'",338,5
"Melaleuca armillaris",348,5
"Morus rubra",364,5
"Paulownia fortunei",376,5
"Pinus coulteri",396,5
"Pistacia vera",408,5
"Pittosporum viridiflorum",414,5
"Populus alba",424,5
"Populus fremontii",426,5
"Populus x hybrida",431,5
"Prunus lusitanica",446,5
"Prunus salicina",450,5
"Psidium guajava",468,5
"Quercus tomentella",494,5
"Rhamnus californica",501,5
"Salix laevigata",517,5
"Sambucus nigra 'Aureomarginata'",523,5
"Solanum macranthum",533,5
"Taxodium mucronatum",548,5
"Tilia americana 'Redmond'",559,5
"Yucca aloifolia",595,5
"Yucca elephantipes",596,5
"Ziziphus jujuba",603,5
"Acacia cognata 'Cousin Itt'",7,3
"Acacia iteaphylla",12,3
"Acer circinatum",20,5
"Acer palmatum 'Crimson Queen Threadleaf'",25,5
"Angophora species",54,5
"Banksia grandis",71,5
"Brachychiton discolor",81,3
"Brachychiton rupestris",83,7
"Brahea armata",84,7
"Brugmansia sanguinea",87,"not a tree"
"Callistemon 'Jeffers'",93,5
"Callistemon species",97,5
"Chiranthodendron pentadactylon",140,5
"Cordyline australis 'Albertii'",153,5
"Cornus species",156,5
"Corylus avellana",158,5
"Corynocarpus laevigata",163,5
"Crataegus crus-galli",169,5
"Cupressus sempervirens 'Swaine's Gold'",180,7
"Cycas revoluta",184,3
"Eucalyptus gunnii",213,5
"Eucalyptus melliodora",217,5
"Fagus sylvatica",230,5
"Fraxinus uhdei 'Tomlinson'",251,5
"Fraxinus velutina 'Rio Grande'",253,5
"Furcraea macdougallii",256,5
"Grewia occidentalis",269,5
"Hypelate trifoliata",278,5
"Juglans species",289,5
"Lagerstroemia x 'Muskogee'",301,5
