zone,lat,lon,zoom
A,37.8,-122.42,15
B,37.78,-122.41,15
C,37.79,-122.47,15
D,37.74,-122.43,15
E,37.74,-122.39,15
F,37.73,-122.48,15
NULL,37.76,-122.44,12
